site,MHD,MHD,MHD,ZEP,ZEP,ZEP,THD,THD,THD,JFJ,JFJ,JFJ,RPB,RPB,RPB,SMO,SMO,SMO,CGO,CGO,CGO
box,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,3
var,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability,mf,mf_repeatability,mf_variability
1993-08-01,,,,,,,,,,,,,,,,,,,260.971,0.27164238434163684,1.1486724649342874
1993-09-01,,,,,,,,,,,,,,,,,,,261.0252,0.23416503184713428,1.818865376854983
1993-10-01,,,,,,,,,,,,,,,,,,,261.1552,0.24378315662650618,0.4186956347671559
1993-11-01,,,,,,,,,,,,,,,,,,,261.2104,0.2518847028423779,0.4917252077750743
1993-12-01,,,,,,,,,,,,,,,,,,,261.2584,0.2789320046620056,0.3755602472490584
1994-01-01,,,,,,,,,,,,,,,,,,,261.1784,0.2784615887850464,0.43267687891804263
1994-02-01,268.851806640625,0.37116796,5.5119386,,,,,,,,,,,,,,,,261.1677,0.2745322303921561,0.3650969528937285
1994-03-01,267.9591979980469,0.41012153,0.6031727,,,,,,,,,,,,,,,,261.23400000000004,0.2663753805774275,0.7358124676154335
1994-04-01,268.0610046386719,0.31236583,0.7845817,,,,,,,,,,,,,,,,261.1997,0.3762608378378374,0.9142197447338228
1994-05-01,268.46680908203126,0.21427418,2.7922287,,,,,,,,,,,,,,,,261.143,0.5717066919191927,1.313872216641387
1994-06-01,267.9555969238281,0.19472547,0.64706075,,,,,,,,,,,,,,,,261.45050000000003,0.3631543750000003,0.8124245562483685
1994-07-01,267.5312072753906,0.19528092,0.73967856,,,,,,,,,,,,,,,,261.7436,0.3069409887005646,0.5365253542961061
1994-08-01,267.33190002441404,0.17915618,1.0796522,,,,,,,,,,,,,,,,261.9301,0.3373549999999997,0.4819572018311333
1994-09-01,267.59638671875,0.18215294,1.0532197,,,,,,,,,,,,,,,,262.07649999999995,0.3597151869158875,0.39013947107420804
1994-10-01,267.9770080566406,0.22454304,6.9186625,,,,,,,,,,,,,,,,262.1736,0.34079846681922193,1.0344937444051858
1994-11-01,268.28001098632814,0.2546555,1.7696973,,,,,,,,,,,,,,,,262.1706,0.34369774373259065,0.3076606721930842
1994-12-01,267.8332061767578,0.44725716,1.2919452,,,,,,,,,,,,,,,,262.0363,0.36577104072398264,0.5837640742609567
1995-01-01,267.6910034179688,0.3293373,0.58900833,,,,,,,,,,,,,,,,261.905,0.3193316326530621,0.41059503950574994
1995-02-01,267.5773986816406,0.32128128,1.4728911,,,,,,,,,,,,,,,,261.6474,0.3452958778625966,0.477602099121659
1995-03-01,267.5,0.29610005,0.5247496,,,,,,,,,,,,,,,,261.7505,0.43907729508196786,0.7648710608453013
1995-04-01,267.5333984375,0.23223379,0.9166669,,,,,,,,,,,,,,,,261.243,0.40599537764350485,0.7006546311215262
1995-05-01,267.2323974609375,0.24603182,1.5377558,,,,,,,,,,,,,,,,261.43960000000004,0.4580846874999995,0.8861806555903212
1995-06-01,266.95098876953125,0.22166298,1.6404628,,,,,,,,,,,,,,,,261.7108,0.3569415750000007,0.5625218168479669
1995-07-01,266.43499755859375,0.22221257,2.609856,,,,,,,,,,,,,,,,261.8944,0.2927868848758456,0.3917832209185162
1995-08-01,266.27301025390625,0.23732646,2.7489731,,,,,,,,,,,,,,,,261.9904,0.32103185101580045,0.4241159717297602
1995-09-01,266.1824096679687,0.2383468,1.2004546,,,,266.96099853515625,0.4512,0.23863229,,,,,,,,,,262.1068,0.18429096418732788,0.35669954867620707
1995-10-01,266.308203125,0.25801837,0.78145444,,,,266.8081970214844,0.31171098,0.63108754,,,,,,,,,,261.6622,0.241696544622425,0.482018727347069
1995-11-01,266.672802734375,0.24475384,1.4100479,,,,266.7495971679688,0.34378526,0.7167957,,,,,,,,,,261.806,0.2038202368421054,0.19976243040218145
1995-12-01,266.78900146484375,0.2114541,1.5093484,,,,266.4693969726562,0.3364395,0.39984986,,,,,,,,,,261.7254,0.20993388888888842,0.21480320384592747
1996-01-01,266.43590393066404,0.24904542,1.9579136,,,,266.3823974609375,0.29621652,0.395334,,,,,,,,,,261.49350000000004,0.19137414798206243,0.2702459831324649
1996-02-01,266.6199951171875,0.23355448,0.9273222,,,,266.34698486328125,0.32638383,0.9473591,,,,,,,,,,261.1524,0.18503184652278182,0.2531193186864152
1996-03-01,266.48259887695315,0.22339396,2.6963482,,,,266.0805908203125,0.30172506,0.62357944,,,,,,,,,,261.16510000000005,0.19294309278350522,0.3567209698662704
1996-04-01,266.26300048828125,0.22392811,1.3024533,,,,265.95839233398436,0.3086766,0.37267852,,,,,,,,,,261.6654,0.26417720461095145,0.3738243951592168
1996-05-01,266.35459899902344,0.24365425,0.43495655,,,,266.0751892089844,0.28191778,0.49185258,,,,,,,,,,262.4194,0.18738112781954863,0.3364235881026655
1996-06-01,265.9501098632812,0.2942064,1.6186289,,,,266.05458984375,0.21145181,0.46041733,,,,265.33539428710935,0.17407359,0.20438106,,,,261.91700000000003,0.20524252631578957,0.4600830003896875
1996-07-01,265.56829528808595,0.2302063,1.2962347,,,,265.64219970703124,0.18523851,0.5141904,,,,265.2692108154297,0.19067252,0.33127627,,,,261.89279999999997,0.18478326732673245,0.3021382675001937
1996-08-01,265.27760314941406,0.23217317,0.72144073,,,,265.2026000976563,0.183439,0.5960025,,,,264.1105041503906,0.17915,1.3630196,262.68230590820315,0.19605337,0.30762494,261.94599999999997,0.19772207349081392,0.23410645714734882
1996-09-01,265.4106079101563,0.25894052,1.5394608,,,,265.2847961425781,0.18496892,0.6037614,,,,264.65150451660156,0.2105989,0.44184938,262.4677978515625,0.1984145,0.39588457,261.8298,0.23505715133531235,0.29348711636716185
1996-10-01,265.3669036865234,0.2797167,0.3526881,,,,265.6112945556641,0.2217207,0.4951031,,,,264.4840087890625,0.22239268,0.39134946,262.50050354003906,0.19430143,0.38971683,261.7018,0.20985853125000048,0.4784510551629352
1996-11-01,265.5609924316406,0.28286597,0.45615608,,,,265.6254028320312,0.25630787,0.63635844,,,,264.7176940917969,0.214123,0.36777076,262.6144104003906,0.18005319,0.49976918,261.4814,0.24789606153846155,0.23679424240973682
1996-12-01,265.7657958984375,0.22854465,1.3769432,,,,265.35059814453126,0.28694654,0.4476224,,,,264.6839904785156,0.194849,0.36454505,262.21600341796875,0.18058842,0.66185844,261.457,0.18268650969529118,0.1715673243918906
1997-01-01,265.70241088867186,0.21553041,1.7234207,,,,265.23699951171875,0.30511254,0.4119058,,,,264.91840209960935,0.2078499,0.22339453,262.14658813476564,0.18238984,0.7001692,261.407,0.17950399999999997,0.32997509537218433
1997-02-01,265.12049560546876,0.2626674,0.6143774,,,,264.9835998535156,0.32453588,0.4405408,,,,264.71929626464845,0.22376989,0.25913858,262.6492889404297,0.17708516,0.40415472,260.8602,0.22024536885245888,0.38448767061614736
1997-03-01,264.97169189453126,0.2603938,1.1674544,,,,264.99700927734375,0.29507416,0.51339334,,,,264.5070037841797,0.18681845,0.2227543,262.2980041503906,0.1780785,0.68790746,260.7964,0.1949214726027397,0.38885025235828025
1997-04-01,264.8599060058594,0.20593992,0.885601,,,,264.79100036621094,0.27900904,0.4213497,,,,264.3919982910156,0.19838436,0.24739026,262.3590087890625,0.18539669,0.39802474,260.5958,0.23025524528301886,0.6149303688611792
1997-05-01,265.0150146484375,0.2129194,1.976101,,,,264.5131011962891,0.23538074,0.6703823,,,,264.31500244140625,0.18794762,0.20198485,261.78900146484375,0.18208463,0.37612852,260.577,0.18864896774193537,0.43714943939400674
1997-06-01,264.52398681640625,0.21938205,1.702159,,,,264.24420166015625,0.23896463,0.51203656,,,,264.0360046386719,0.20471413,0.24187632,261.7120056152344,0.19883157,0.30419132,260.6334,0.20472879365079366,0.6985481818238236
1997-07-01,264.0050048828125,0.21694587,0.6635339,,,,263.98009033203124,0.29102337,0.6631171,,,,263.9095031738281,0.19705825,0.2976864,262.0634002685547,0.19708878,0.2263069,260.7086,0.18556978891820558,0.33462179453170227
1997-08-01,263.70488891601565,0.2262704,1.4260367,,,,263.74200439453125,0.24325788,0.581895,,,,263.849609375,0.2205712,0.24925429,261.789404296875,0.18737102,0.3028512,260.853,0.19982751243781097,0.2759660216844993
1997-09-01,263.6451904296875,0.23933955,2.7269845,,,,263.7104034423828,0.29869306,0.6998035,,,,263.44591369628904,0.22742698,0.3733197,261.7909851074219,0.17726287,0.33437005,260.841,0.17885136231884072,0.24484077139374882
1997-10-01,263.9924011230469,0.21661934,1.7583066,,,,264.1097900390625,0.25353742,0.71148235,,,,263.24620056152344,0.24849781,0.38666722,261.6839904785156,0.1672583,0.33824995,260.62039999999996,0.22253518624641871,0.3957084910765679
