# AGAGE data for CFC-11
# Created by chxmr on 2021-03-17 11:48:25.604479
# Contact AGAGE data owners before use 
# This file contains data from the following sites/instruments: 
#===================================================
# MHD 
#   1. ALE
#------------------
# THD 
#   1. ALE
#------------------
# RPB 
#   1. ALE
#------------------
# SMO 
#   1. ALE
#------------------
# CGO 
#   1. ALE
#------------------
# SCALE: SIO-05
# UNITS: ppt
var,mf,mf,mf,mf,mf_variability,mf_variability,mf_variability,mf_variability,sites,sites,sites,sites,instruments,instruments,instruments,instruments
box,0,1,2,3,0,1,2,3,0,1,2,3,0,1,2,3
1978-07-01,158.39,152.02,141.79,136.25,1.35,2.21,1.56,1.1,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1978-08-01,160.12,152.39,145.17,137.45,1.91,2.83,1.45,1.25,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1978-09-01,160.43,151.58,144.75,139.44,1.44,3.21,1.46,0.81,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1978-10-01,161.35,151.64,145.7,139.69,1.71,3.06,1.44,0.97,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1978-11-01,161.96,151.47,146.49,141.66,2.52,3.02,2.12,0.82,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1978-12-01,167.06,154.25,148.06,142.14,3.2,2.48,2.11,0.55,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-01-01,162.27,156.6,150.29,144.43,3.37,2.23,1.88,1.04,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-02-01,162.09,154.87,149.65,144.55,2.7,2.3,2.04,0.98,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-03-01,162.62,155.87,147.93,144.54,2.17,1.96,2.14,1.18,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-04-01,164.2,,148.86,145.26,2.02,,1.76,1.1,MHD,,SMO,CGO,ALE|,,ALE,ALE
1979-05-01,165.09,159.53,147.74,146.35,2.29,1.41,1.1,1.35,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-06-01,166.7,158.78,147.64,147.72,1.8,1.28,0.82,1.23,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-07-01,167.18,161.07,148.13,148.12,1.96,2.69,1.08,1.06,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-08-01,167.79,162.81,149.16,148.66,1.78,2.3,1.32,0.86,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-09-01,168.94,161.26,148.8,149.74,1.8,2.97,1.19,1.11,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-10-01,171.48,161.51,148.98,151.63,1.8,2.35,1.73,0.81,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-11-01,172.01,162.37,151.7,152.31,2.17,2.21,1.37,0.67,MHD,RPB,SMO,CGO,ALE|,ALE,ALE,ALE
1979-12-01,171.86,164.1,152.29,152.63,2.0149999999999997,1.32,2.52,0.71,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-01-01,172.245,164.52,155.41,153.52,1.7200000000000002,1.48,1.09,0.58,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-02-01,170.67000000000002,165.21,156.07,153.77,1.97,1.61,1.45,1.14,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-03-01,172.95999999999998,167.37,157.25,154.58,1.665,1.31,1.28,0.68,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-04-01,174.52,167.59,158.18,155.04,1.37,1.3,2.05,1.12,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-05-01,176.025,168.12,158.29,157.36,1.3450000000000002,1.17,1.24,1.18,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-06-01,175.22500000000002,169.21,158.69,157.86,1.605,1.07,1.12,0.9,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-07-01,175.51,170.5,159.93,158.24,1.505,1.4,1.0,0.78,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-08-01,176.265,171.68,160.54,158.82,1.58,1.52,1.07,0.8,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-09-01,177.41500000000002,171.12,161.63,160.08,1.65,2.39,1.52,1.1,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-10-01,178.85,170.54,160.95,160.87,2.06,2.45,1.18,0.59,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-11-01,179.16,172.98,164.04,161.66,1.985,1.47,1.15,0.53,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1980-12-01,179.43,174.02,165.16,162.08,2.365,1.87,1.94,0.49,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-01-01,178.79,174.76,166.42,162.68,1.925,1.1,2.04,0.46,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-02-01,179.60500000000002,174.94,,161.25,1.88,1.11,,0.43,MHD|THD,RPB,,CGO,ALE|ALE,ALE,,ALE
1981-03-01,180.025,173.81,169.0,162.53,1.6300000000000001,1.08,1.69,0.57,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-04-01,181.535,175.85,167.63,163.57,1.605,1.61,1.46,0.66,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-05-01,181.945,176.5,166.7,165.0,1.465,1.49,1.89,1.19,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-06-01,182.8,176.23,167.93,166.31,1.195,1.14,1.18,0.81,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-07-01,182.57999999999998,178.32,167.89,166.85,1.475,1.39,1.68,0.72,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-08-01,184.055,179.46,169.83,,1.5750000000000002,2.31,1.03,,MHD|THD,RPB,SMO,,ALE|ALE,ALE,ALE,
1981-09-01,186.265,179.07,172.12,166.97,1.7200000000000002,2.57,1.79,1.02,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-10-01,188.265,179.29,172.19,,1.685,2.03,1.2,,MHD|THD,RPB,SMO,,ALE|ALE,ALE,ALE,
1981-11-01,188.90499999999997,180.35,173.1,168.31,1.68,1.67,1.34,0.58,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1981-12-01,189.23000000000002,181.15,174.42,170.1,1.525,1.31,1.42,1.49,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-01-01,186.88,182.45,175.27,170.55,2.195,1.11,1.32,1.2,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-02-01,187.16,183.13,175.21,170.98,2.105,1.17,1.61,0.89,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-03-01,188.32,183.3,174.41,171.81,1.8199999999999998,1.06,1.1,0.91,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-04-01,189.21499999999997,184.21,,172.89,1.875,0.94,,0.95,MHD|THD,RPB,,CGO,ALE|ALE,ALE,,ALE
1982-05-01,189.45,185.18,,174.11,1.645,0.97,,0.94,MHD|THD,RPB,,CGO,ALE|ALE,ALE,,ALE
1982-06-01,189.47,185.71,177.25,175.48,1.575,1.04,1.4,0.63,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-07-01,189.99,187.18,176.9,176.23,1.77,1.25,1.42,0.64,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-08-01,189.755,189.85,177.65,177.08,1.355,1.52,1.81,0.74,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-09-01,191.35000000000002,189.22,178.03,177.86,2.065,1.8,1.43,0.59,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-10-01,194.175,189.61,178.66,178.15,1.7,2.33,0.92,0.68,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-11-01,195.635,190.77,178.42,178.9,1.58,1.61,0.98,0.67,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1982-12-01,195.68,191.87,179.03,179.35,1.525,1.38,1.2,0.73,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-01-01,195.26,191.79,180.7,179.76,1.565,1.08,1.8,0.82,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-02-01,196.16,191.45,181.4,180.21,1.45,1.12,1.09,0.77,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-03-01,196.995,191.86,183.46,180.14,1.56,1.3,1.6,0.86,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-04-01,199.2,193.92,183.1,180.92,1.52,0.99,0.9,1.03,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-05-01,200.35500000000002,193.22,184.22,181.88,1.54,1.01,0.85,0.98,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-06-01,201.085,193.7,185.17,182.7,1.48,1.78,0.98,0.87,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-07-01,202.01,196.02,185.93,183.58,1.455,2.11,0.75,0.89,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-08-01,202.985,199.65,187.24,184.27,1.46,2.21,0.76,1.28,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-09-01,200.355,200.15,188.78,184.7,2.185,2.18,0.89,1.66,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-10-01,202.59,199.37,189.06,185.63,2.225,1.91,0.78,1.62,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
1983-11-01,203.605,199.57,189.97,186.24,2.52,1.74,0.94,1.62,MHD|THD,RPB,SMO,CGO,ALE|ALE,ALE,ALE,ALE
